통계표,항목명1,단위,변환,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07
"7.7.1 주택매매가격지수(KB)","총지수","2019.01=100","원자료","99.934","99.829","99.691","99.625","99.538","99.531","99.586","99.640","99.733","99.874","100.222","100.576","100.948","101.511","101.744","101.884","102.377","103.278","104.081","104.909","105.611","107.125","108.586","109.878","111.375","112.842","114.039","115.133","116.642","118.002"
"7.7.1 주택매매가격지수(KB)","  총지수(서울)","2019.01=100","원자료","99.953","99.869","99.869","99.919","100.037","100.302","100.682","101.060","101.432","101.848","102.560","103.056","103.417","103.905","104.072","104.092","104.641","106.162","107.757","109.284","110.303","112.139","113.532","114.974","116.290","117.411","118.276","119.219","120.421","121.631"
"7.7.1 주택매매가격지수(KB)","  단독주택","2019.01=100","원자료","100.076","100.174","100.233","100.323","100.461","100.617","100.753","100.760","100.766","100.869","101.002","101.249","101.366","101.530","101.702","101.888","102.263","102.473","102.714","102.891","103.553","104.334","104.909","105.303","105.718","106.095","106.261","106.557","106.586","106.973"
"7.7.1 주택매매가격지수(KB)","  연립주택","2019.01=100","원자료","99.964","99.946","99.942","99.973","100.050","100.116","100.300","100.424","100.473","100.567","100.718","100.991","101.197","101.395","101.575","101.743","102.252","102.776","103.346","103.801","104.783","106.398","107.237","107.895","108.706","109.425","109.920","110.434","110.672","111.323"
"7.7.1 주택매매가격지수(KB)","  아파트","2019.01=100","원자료","99.886","99.693","99.453","99.315","99.118","99.030","99.014","99.041","99.152","99.297","99.726","100.103","100.559","101.295","101.548","101.658","102.149","103.284","104.246","105.298","105.905","107.506","109.346","111.005","112.957","114.911","116.555","118.017","120.246","122.073"
"7.7.1 주택매매가격지수(KB)","    아파트(서울)","2019.01=100","원자료","99.908","99.739","99.595","99.535","99.459","99.827","100.229","100.677","101.260","101.830","102.920","103.606","104.139","104.901","105.063","105.062","105.606","107.864","110.079","112.276","113.112","114.853","116.365","118.230","120.121","121.721","122.879","124.118","126.177","127.795"
   7.7.1 주택매매가격지수(KB)
통계담당 : 한국은행 경제통계국 통계정보팀(02-759-5317)
주 : - 2019.1월부터 개편된 표본으로 조사됨(표본수 확대: 아파트 30,300개 &gt; 31,800개, 단독 2,382개 &gt; 2,500개, 연립 1,786개 &gt; 2,000개)

(통계 이용시 유의사항)
- 통계 수록에 통상 1~2 영업일 정도가 소요되니 급하게 자료가 필요한 경우에는 통계작성기관에서 이용 바람
- 통계 작성방법 및 내용 등은 통계작성기관에 문의 바람 
- 상세 데이터가 필요한 경우 통계작성기관에서 확인 바람

